Date,Business Purpose,From,To,Miles,Category,Rate,Amount At Rate,Parking,Tolls,Vehicle,Notes
2025-06-06,Business,high falls oil,home/office,37.0,Business,0.7,25.9,0.0,0.0,🐎,high falls oil return trip · Start: 00:34 · MileIQ
2025-06-08,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",39.2,Business,0.7,27.44,0.0,0.0,🐎,Start: 16:23 · MileIQ
2025-06-08,Meeting,"1300 S Holden Rd, Greensboro, NC, Hunter Hills, 27407, United States",home/office,35.8,Business,0.7,25.06,0.0,0.0,🐎,business meeting with parts investor · Start: 18:34 · MileIQ
2025-06-10,Business,home/office,home/office,2.5,Business,0.7,1.75,0.0,0.0,🐎,Start: 18:42 · MileIQ
2025-06-11,Business,home/office,"1401 N 2nd Ave, Siler City, NC, 27344, United States",7.0,Business,0.7,4.9,0.0,0.0,🐎,Start: 14:43 · MileIQ
2025-06-11,Business,"1401 N 2nd Ave, Siler City, NC, 27344, United States",home/office,2.5,Business,0.7,1.75,0.0,0.0,🐎,Start: 15:15 · MileIQ
2025-06-12,Business,"475 Progress Blvd, Siler City, NC, 27344, United States","107 Food Lion Plaza, Siler City, NC, 27344, United States",2.6,Business,0.7,1.82,0.0,0.0,🐎,Start: 08:09 · MileIQ
2025-06-12,Business,"1605 E 11th St, Siler City, NC, 27344, United States",home/office,4.7,Business,0.7,3.29,0.0,0.0,🐎,Start: 08:34 · MileIQ
2025-06-15,solicitation,home/office,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",39.6,Business,0.7,27.72,0.0,0.0,🐎,advertising & regional customer relations. Solicitations. · Start: 13:27 · MileIQ
2025-06-15,Business,"910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","1101 NC-61, Whitsett, NC, 27377, United States",18.1,Business,0.7,12.67,0.0,0.0,🐎,Start: 14:25 · MileIQ
2025-06-15,solicitation,"1101 NC-61, Whitsett, NC, 27377, United States","7122 Burlington Rd, Whitsett, NC, 27377, United States",1.0,Business,0.7,0.7,0.0,0.0,🐎,soliciting enroute · Start: 15:45 · MileIQ
2025-06-15,Business,"7122 Burlington Rd, Whitsett, NC, 27377, United States",home/office,41.6,Business,0.7,29.12,0.0,0.0,🐎,solicitations travel. · Start: 15:58 · MileIQ
2025-06-15,vehicle maintenance,home/office,"1401 E 11th St, Siler City, NC, 27344, United States",2.7,Business,0.7,1.89,0.0,0.0,🐎,Start: 19:11 · MileIQ
2025-06-15,vehicle maintenance,"1401 E 11th St, Siler City, NC, 27344, United States",home/office,5.2,Business,0.7,3.64,0.0,0.0,🐎,Start: 19:25 · MileIQ
2025-06-16,Business,"1615 W 3rd St, Siler City, NC, 27344, United States","1401 E 11th St, Siler City, NC, 27344, United States",4.3,Business,0.7,3.01,0.0,0.0,🐎,Start: 17:11 · MileIQ
2025-06-16,Business,"1401 E 11th St, Siler City, NC, 27344, United States",home/office,6.2,Business,0.7,4.34,0.0,0.0,🐎,Start: 17:33 · MileIQ
2025-06-16,Business,"1734 W 3rd St, Siler City, NC, 27344, United States",home/office,2.4,Business,0.7,1.68,0.0,0.0,🐎,Start: 20:55 · MileIQ
2025-06-18,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States",home/office,19.2,Business,0.7,13.44,0.0,0.0,🐎,Start: 10:42 · MileIQ
2025-06-22,Business,home/office,"916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States",46.7,Business,0.7,32.69,0.0,0.0,🐎,Start: 14:00 · MileIQ
2025-06-22,Business,"914 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States","910 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States",2.9,Business,0.7,2.03,0.0,0.0,🐎,Start: 16:53 · MileIQ
2025-06-22,Business,"900 S Holden Rd, Greensboro, NC, Hewitt Area, 27407, United States","916 Meade Dr, Greensboro, NC, Hamilton Hills, 27410, United States",3.5,Business,0.7,2.45,0.0,0.0,🐎,Start: 18:15 · MileIQ
2025-06-22,Business,"602 Muirs Chapel Rd, Greensboro, NC, Hamilton Hills, 27410, United States","1101 NC-61, Whitsett, NC, 27377, United States",32.0,Business,0.7,22.4,0.0,0.0,🐎,Start: 23:25 · MileIQ
2025-06-23,Business,"1101 NC-61, Whitsett, NC, 27377, United States",home/office,41.0,Business,0.7,28.7,0.0,0.0,🐎,Start: 00:46 · MileIQ
2025-06-24,Business,"1548 W 3rd St, Siler City, NC, 27344, United States","14215 US-64, Siler City, NC, 27344, United States",3.9,Business,0.7,2.73,0.0,0.0,🐎,Start: 17:53 · MileIQ
2025-06-24,Business,"14215 US-64, Siler City, NC, 27344, United States",home/office,9.2,Business,0.7,6.44,0.0,0.0,🐎,Start: 18:34 · MileIQ
2025-06-27,Business,"53 John Emerson Rd, Siler City, NC, 27344, United States",home/office,5.1,Business,0.7,3.57,0.0,0.0,🐎,Start: 23:41 · MileIQ
2025-06-28,Business,"146 Headen Rd, Siler City, NC, 27344, United States","5740 Virginia Ave, Bassett, VA, 24055, United States",95.3,Business,0.7,66.71,0.0,0.0,🐎,Start: 14:26 · MileIQ
2025-06-28,Business,"5740 Virginia Ave, Bassett, VA, 24055, United States","3804 Amber Way Cir SW, Roanoke, VA, 24018, United States",46.0,Business,0.7,32.2,0.0,0.0,🐎,Start: 15:57 · MileIQ
2025-06-28,Business,"3804 Amber Way Cir SW, Roanoke, VA, 24018, United States","1605 E 11th St, Siler City, NC, 27344, United States",141.1,Business,0.7,98.77,0.0,0.0,🐎,Start: 19:19 · MileIQ
2025-06-28,vehicle maintenance,"1401 E 11th St, Siler City, NC, 27344, United States",home/office,4.8,Business,0.7,3.36,0.0,0.0,🐎,Start: 21:51 · MileIQ
2025-06-29,Business,"1671 W 3rd St, Siler City, NC, 27344, United States","1036 Randolph St, Thomasville, NC, 27360, United States",51.0,Business,0.7,35.7,0.0,0.0,🐎,Start: 14:41 · MileIQ
